tc   x    zmpx    ubx   lbx   y    zmpy    uby   lby
3.02  0.020178  0.0544078  -0.15  0.15  0.714347  0.667713  0.5  1
3.03  0.0168713  0.0472574  -0.15  0.15  0.719542  0.678373  0.5  1
3.04  0.0134925  0.0393878  -0.15  0.15  0.724834  0.69003  0.5  1
3.05  0.0100528  0.0308848  -0.15  0.15  0.730209  0.702508  0.5  1
3.06  0.00656492  0.0218683  -0.15  0.15  0.735647  0.71559  0.5  1
3.07  0.00304247  0.0124704  -0.15  0.15  0.74113  0.729055  0.5  1
3.08  -0.000500047  0.00282451  -0.15  0.15  0.746639  0.7427  0.5  1
3.09  -0.00404764  -0.0069337  -0.15  0.15  0.752154  0.756328  0.5  1
3.1  -0.00758514  -0.0166665  -0.15  0.15  0.757654  0.769751  0.5  1
3.11  -0.0110974  -0.0262332  -0.15  0.15  0.763122  0.782783  0.5  1
3.12  -0.0145699  -0.0354893  -0.15  0.15  0.768538  0.795234  0.5  1
3.13  -0.0179885  -0.0442891  -0.15  0.15  0.773885  0.806918  0.5  1
3.14  -0.0213404  -0.0524987  -0.15  0.15  0.779149  0.817671  0.5  1
3.15  -0.0246141  -0.0600137  -0.15  0.15  0.784316  0.827387  0.5  1
