tc   x    zmpx    ubx   lbx   y    zmpy    uby   lby
2.24  0.424952  0.402627  0.3  0.5  -0.0677597  -0.100731  -0.15  -0.05
2.25  0.426979  0.402461  0.3  0.5  -0.0673735  -0.1007  -0.15  -0.05
2.26  0.429029  0.402138  0.3  0.5  -0.0669546  -0.100774  -0.15  -0.05
2.27  0.431107  0.401842  0.3  0.5  -0.0665025  -0.100814  -0.15  -0.05
2.28  0.433213  0.401506  0.3  0.5  -0.0660169  -0.1009  -0.15  -0.05
2.29  0.43535  0.401201  0.3  0.5  -0.065497  -0.100952  -0.15  -0.05
2.3  0.43752  0.401029  0.3  0.5  -0.0649424  -0.100962  -0.15  -0.05
2.31  0.439726  0.400892  0.3  0.5  -0.0643525  -0.100936  -0.15  -0.05
2.32  0.441971  0.400684  0.3  0.5  -0.0637267  -0.100969  -0.15  -0.05
2.33  0.444255  0.400517  0.3  0.5  -0.0630645  -0.100965  -0.15  -0.05
2.34  0.446583  0.400499  0.3  0.5  -0.062365  -0.100909  -0.15  -0.05
2.35  0.448956  0.400526  0.3  0.5  -0.0616279  -0.100814  -0.15  -0.05
2.36  0.451376  0.400515  0.3  0.5  -0.0608523  -0.100759  -0.15  -0.05
2.37  0.453846  0.400554  0.3  0.5  -0.0600376  -0.100665  -0.15  -0.05
2.38  0.456368  0.400654  0.3  0.5  -0.059183  -0.100559  -0.15  -0.05
2.39  0.458945  0.400809  0.3  0.5  -0.058288  -0.100413  -0.15  -0.05
2.4  0.461579  0.401094  0.3  0.5  -0.0573516  -0.100219  -0.15  -0.05
2.41  0.464272  0.401438  0.3  0.5  -0.0563732  -0.0999841  -0.15  -0.05
2.42  0.467027  0.401994  0.3  0.5  -0.0553521  -0.0996595  -0.15  -0.05
2.43  0.469845  0.402614  0.3  0.5  -0.0542876  -0.0992915  -0.15  -0.05
2.44  0.47273  0.403163  0.3  0.5  -0.053179  -0.0989747  -0.15  -0.05
2.45  0.475682  0.403781  0.3  0.5  -0.0520255  -0.0986131  -0.15  -0.05
2.46  0.478705  0.405082  0.3  0.5  -0.0508263  -0.0979244  -0.15  -0.05
2.47  0.4818  0.406455  0.3  0.5  -0.0495811  -0.0971895  -0.15  -0.05
2.48  0.484969  0.408415  0.3  0.5  -0.0482892  -0.096175  -0.15  -0.05
2.49  0.488213  0.41045  0.3  0.9  -0.0469503  -0.0951136  -0.15  0.15
2.5  0.491533  0.412508  0.3  0.9  -0.0455643  -0.0940536  -0.15  0.15
2.51  0.49493  0.414643  0.3  0.9  -0.0441307  -0.092946  -0.15  0.15
2.52  0.498406  0.417716  0.3  0.9  -0.0426496  -0.0904825  -0.15  0.15
2.53  0.501961  0.420869  0.3  0.9  -0.0411215  -0.087972  -0.15  0.15
2.54  0.505596  0.425095  0.3  0.9  -0.0395476  -0.0851045  -0.15  0.15
2.55  0.509309  0.4294  0.3  0.9  -0.037929  -0.0821923  -0.15  0.15
2.56  0.5131  0.434936  0.3  0.9  -0.0362671  -0.0788162  -0.15  0.15
2.57  0.516968  0.440549  0.3  0.9  -0.0345636  -0.0753983  -0.15  0.15
2.58  0.520911  0.447065  0.3  0.9  -0.03282  -0.071659  -0.15  0.15
2.59  0.524926  0.453653  0.3  0.9  -0.0310384  -0.0678815  -0.15  0.15
2.6  0.529011  0.460766  0.3  0.9  -0.0292207  -0.063956  -0.15  0.15
2.61  0.533163  0.467947  0.3  0.9  -0.027369  -0.0599964  -0.15  0.15
2.62  0.537378  0.475821  0.3  0.9  -0.0254853  -0.0557821  -0.15  0.15
2.63  0.541654  0.483755  0.3  0.9  -0.0235719  -0.051538  -0.15  0.15
2.64  0.545987  0.491892  0.3  0.9  -0.0216311  -0.0472809  -0.15  0.15
2.65  0.550373  0.500082  0.3  0.9  -0.0196652  -0.0429987  -0.15  0.15
2.66  0.554807  0.508855  0.3  0.9  -0.0176765  -0.0384853  -0.15  0.15
2.67  0.559287  0.517673  0.3  0.9  -0.0156674  -0.0339515  -0.15  0.15
2.68  0.563808  0.526837  0.3  0.9  -0.0136403  -0.0292996  -0.15  0.15
2.69  0.568365  0.536037  0.3  0.9  -0.0115979  -0.0246324  -0.15  0.15
2.7  0.572953  0.545269  0.3  0.9  -0.00954276  -0.0200045  -0.15  0.15
2.71  0.577569  0.554527  0.3  0.9  -0.00747734  -0.0153664  -0.15  0.15
2.72  0.582207  0.564087  0.3  0.9  -0.00540421  -0.0106088  -0.15  0.15
2.73  0.586863  0.573666  0.3  0.9  -0.00332598  -0.00584613  -0.15  0.15
2.74  0.591532  0.583133  0.3  0.9  -0.00124525  -0.00118503  -0.15  0.15
2.75  0.596209  0.592609  0.3  0.9  0.000835407  0.00347602  -0.15  0.15
2.76  0.60089  0.602326  0.3  0.9  0.00291346  0.00824732  -0.15  0.15
2.77  0.605569  0.612041  0.3  0.9  0.00498629  0.0130134  -0.15  0.15
2.78  0.610242  0.621806  0.3  0.9  0.00705125  0.0177897  -0.15  0.15
2.79  0.614903  0.631559  0.3  0.9  0.00910568  0.0225556  -0.15  0.15
2.8  0.619549  0.641163  0.3  0.9  0.011147  0.0272192  -0.15  0.15
2.81  0.624173  0.650746  0.3  0.9  0.0131725  0.031867  -0.15  0.15
2.82  0.628771  0.660236  0.3  0.9  0.0151797  0.0364232  -0.15  0.15
2.83  0.633338  0.669696  0.3  0.9  0.0171661  0.0409587  -0.15  0.15
2.84  0.637869  0.679129  0.3  0.9  0.0191292  0.0453935  -0.15  0.15
2.85  0.64236  0.68852  0.3  0.9  0.0210665  0.0498026  -0.15  0.15
2.86  0.646806  0.697384  0.3  0.9  0.0229757  0.0539338  -0.15  0.15
2.87  0.651203  0.706198  0.3  0.9  0.0248546  0.0580348  -0.15  0.15
2.88  0.655545  0.714485  0.3  0.9  0.026701  0.0618579  -0.15  0.15
2.89  0.65983  0.722715  0.7  0.9  0.028513  0.0656465  0.05  0.15
2.9  0.664053  0.730826  0.7  0.9  0.0302886  0.0693457  0.05  0.15
2.91  0.668211  0.738872  0.7  0.9  0.0320259  0.0730067  0.05  0.15
2.92  0.6723  0.746092  0.7  0.9  0.0337231  0.0757696  0.05  0.15
2.93  0.676316  0.753239  0.7  0.9  0.0353792  0.0784913  0.05  0.15
2.94  0.680257  0.759146  0.7  0.9  0.0369931  0.0806915  0.05  0.15
2.95  0.684121  0.764976  0.7  0.9  0.0385642  0.0828488  0.05  0.15
2.96  0.687906  0.769755  0.7  0.9  0.0400919  0.0846303  0.05  0.15
